cinv;cislo;budt;mist;osc;zapl;nazev;poh;nomenkl;kat;typmajet;ucet;datzar;trida;mj;cenamj;czcpa;skp;jkpov;druh;cmnoz;ccena;fizd;hjz;dod;cdokpor;cdok;vyrcis;rok;evcis;cinnost;zak;najz;naji;naj;pracn;datpok;kontr;zpinv;zptck;pozn;obr;prilohy
101;D01110105;903;403;;1.12.2022;stůl dílenský KS1200 LK;861;;;1;85;31.12.2011;;ks;4923,00;31.09.11;36.1;;;1,000;4923,00;;;25723146;ZD1110105;P220313;;2011;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01110106;903;217;;1.12.2022;skříňka roletová DP05 P;861;;;1;85;31.12.2011;;ks;4284,00;31.09.11;36.1;;;1,000;4284,00;;;25723146;ZD1110106;P220306;;2011;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120003;903;1807;;18.9.2025;oxymetr pulsní PM 50;861;;;1;81;22.2.2012;;ks;8443,60;32.50.50;33.10;;;1,000;8443,60;;;;ZD1120003;P250290;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120005;903;216;;1.12.2022;skříň šatní plech. dvoudílná;861;;;1;85;31.5.2012;;ks;3197,00;31.09.11;;;;1,000;3197,00;;;25922378;ZD1120005;P220305;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120006;903;216;;1.12.2022;skříň šatní plech. dvoudílná;861;;;1;85;31.5.2012;;ks;3197,00;31.09.11;;;;1,000;3197,00;;;25922378;ZD1120006;P220305;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120007;903;216;;1.12.2022;skříň šatní plech. dvoudílná;861;;;1;85;31.5.2012;;ks;3197,00;31.09.11;;;;1,000;3197,00;;;25922378;ZD1120007;P220305;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120008;903;216;;1.12.2022;skříň šatní plech. dvoudílná;861;;;1;85;31.5.2012;;ks;3197,00;31.09.11;;;;1,000;3197,00;;;25922378;ZD1120008;P220305;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120017;903;215;;1.12.2022;prkno žehlící;861;;;1;86;20.6.2012;;ks;1199,00;31.09.11;;;;1,000;1199,00;;;;ZD1120017;P220304;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120018;903;403;;1.12.2022;vysavač Attix 30 - 31;861;;;1;86;20.6.2012;;ks;8398,00;27.90.11;;;;1,000;8398,00;;;16949218;ZD1120018;P220313;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120020;903;9098;;1.12.2022;batoh malý;861;120201;;1;81;26.6.2012;;ks;1039,50;13.92.29;;;;1,000;1039,50;;;;ZD1120020;P220279;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120021;903;1807;;18.9.2025;batoh malý;861;120201;;1;81;26.6.2012;;ks;1039,50;13.92.29;;;;1,000;1039,50;;;;ZD1120021;P250290;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120022;903;2810;;20.3.2026;batoh malý;861;120201;;1;81;26.6.2012;;ks;1039,50;13.92.29;;;;1,000;1039,50;;;;ZD1120022;P260091;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120023;903;1807;;18.9.2025;tonometr BOSO ROID II.;861;;;1;81;26.6.2012;;ks;1079,54;32.50.50;;;;1,000;1079,54;;;;ZD1120023;P250290;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120024;903;1807;;18.9.2025;tonometr BOSO ROID II.;861;;;1;81;26.6.2012;;ks;1079,54;32.50.50;;;;1,000;1079,54;;;;ZD1120024;P250290;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01120044;903;72EP;;29.12.2025;tonometr BOSO ROID II.;861;;;1;81;31.8.2012;;ks;1079,54;32.50.50;;;;1,000;1079,54;;;;ZD1120044;P250415;;2012;;;;0,00;0,000;0,00;;;;2;2;;;
